"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
 398,"*sЇ█rk",1970,"a k. of box","вид ящика","sЇlgi","sЇ█rk","Nam 301, KED 950."
 399,"*na▀█ma▀█╢h",1186,"small bag, pocket","мешочек, карман","","na▀█ma▀█╢h, na▀█ma▀█s","Nam 92."
 400,"*p░r", 111,"curtain","занавес","p░l","p░r","Nam 245, KED 723."
 401,"*pi█p╞▒i-",1794,"to bore through; to rub","сверлить; тереть","pibi-","pi█p╞▒i-","Nam 277, KED 854."
 402,"*pjЇ▒ri▒",1811,"guiding net rope","ведущая веревка у сети","pjЇri","pjЇ▒ri▒","Liu 382, KED 775."
 403,"*nїr",1428,"board","доска","nїl","nїr","Nam 105, KED 332."
 404,"*ka▒r",1028,"fetters, cangue","оковы, колодки","khal","ka▒r, k░r","Nam 19, HMCH 249, KED 1669. Modern initial kh- is not quite clear."
 405,"*su█sk",2121,"coal","уголь","sut [su╢h]","su█s (su█sk-)","Nam 316, KED 1021."
 406,"*na▒ks",1173,"hook","крюк","nak:si","na▒ks","Nam 94, KED 298."
 407,"*na▒t",1461,"sickle","серп","nat [nas]","na▒t","Nam 94, KED 311."
 408,"*k╞rk- / *ka▀▒rk-",1034,"to shear, scrape","стричь, скрести","k╞k- [k╞lk-], kak- [kalk-]","k╞rk-, ka▀▒rk-","Nam 22, 74, KED 48, 249."
 409,"*psk╞▒r",1768,"chisel","долото","k:╞l","psk╞▒r","Nam 74, KED 247."
 410,"*ta█h-, *th-╞█r-",2257,"1 to plait, weave 2 to twist, wind","1 плести, ткать 2 крутить, вить","t:a- [t:ah-] 1, th╞l- 2","ta█h- 1, th╞█r- 2","Nam 145, Liu 718, KED 418, 1724."
 411,"*Ї█r╞█", 417,"spool","катушка","Їlle","Ї█r╞█","Nam 360, KED 1144."
 412,"*pu▒i",1838,"broom","метла","\Ipi\i","pu▒i","Nam 269, KED 848."
 413,"*ka▒rh", 483,"knife, sword","нож, меч","khal","ka▒r (ka▒rh-)","Nam 19, KED 1669."
 414,"*ma█╢hi▒",1323,"wooden hammer, mallet","деревянный молоток, колотушка","ma╢hi","ma█╢hi▒","Liu 301, KED 567."
 415,"*ma▒r",1244,"post, pole","шест, жердь","mal-t:uk","ma▒r","Nam 200, KED 583."
 416,"*╢Ї▒s",2155,"pickled food","маринад, соленая или маринованная пища","╢Їt [╢Їs]","╢Ї▒s","Liu 653, KED 1449."
 417,"*tapar",2346,"bundle, bunch","связка","tabal","","Nam 385."
 418,"*nu█ru▒k",1516,"yeast","закваска, дрожжи","nuruk","nu█ru▒k, nu█r╞▒k","Nam 114, KED 357."
 419,"*sku▒r",2176,"honey","мед","k:ul","sku▒r, psku▒r","Nam 63, KED 217. The attested variant psku▒r is probably a result of hypercorrective spelling."
 420,"*╢Ї█k",   0,"lye","щелок","","╢Ї█k","Nam 422."
 421,"*ka▀█ra▀█", 567,"flour","мука","karu","ka▀█ra▀█, ka▀r","Nam 10, 20, KED 12."
 422,"*sa▀▒ma▒i",2110,"sleeve","рукав","som▓","sa▀▒ma█i, sa▀▒ma▀▒i","Nam 287-288, KED 973/"
 423,"*ni█p-",1435,"to put on (clothes)","надевать (одежду)","ip-","ni█p-","Nam 126, KED 1364."
 424,"*st╞▒i",1987,"belt","ремень","t:i","st╞▒i","Nam 177, KED 550."
 425,"*no█ri▒ka▒i",1198,"smth. worn on the belt","предмет, подвешиваемый к поясу","norig▓","no█ri▒ka▒i","Liu 156, KED 341."
 426,"*ki▒nh", 763,"string, tassel","веревка, кисточка, лента","k:╞n","ki▒n (ki▒nh-)","Nam 80, KED 243."
 427,"*po█ro█ki▒",1779,"swaddlingclothes","пеленки","","po█ro█ki▒","Nam 260."
 428,"*mi█s",   0,"rudder","руль","","mi█s",""
 429,"*pha▀▒ka▒i",1613,"scoop, dipper","черпак","phag▓","pha▀▒ka▒i, pha▀▒ka█","Nam 461, KED 1728 (derivation from pha▀▒- 'to dig' is implausible both phonetically and semantically)."
 430,"*ko█ma▀▒r", 506,"stern","корма","komul","ko█ma▀▒r","Nam 47, HMCH 271, KED 142."
 431,"*ni█ma▀▒r",1467,"prow, stern","нос, перед  (лодки); корма","imul","ni█ma▀▒r","Nam 122, HMCH 271, KED 1320."
 432,"*tho█╤",2230,"axle","ось","(sal-)tho╤","tho█╤","Liu 716, KED 900."
 433,"*ta▀█rko▒",2381,"light carriage","легкая повозка","talgu√i","ta▀█rko▒╢i▒","Nam 140, KED 402."
 434,"*pa█ho▒i", 159,"wheel","колесо","pakhwi","pa█ho▒i","Nam 239, KED 710."
 435,"*ki█r╞▒ma▒",1036,"saddle","седло","kilma","ki█r╞▒ma▒","Nam 78, Liu 113, KED 280."
 436,"*╢ha▒i", 285,"whip; handle","кнут; ручка","╢h▓, ╢h▓-╢:ik","╢ha▒i","Nam 449, KED 1576."
 437,"*na▀▒rh",2659,"blade","лезвие","nal","na▀▒r (na▀▒rh-)","Nam 95, KED 302."
 438,"*so█ni▒",2079,"bow","лук","swenwe","so█ni▒","Nam 307, KED 995."
 439,"*ko█╢a▒i",1037,"ends of bow","концы лука","ko√a","ko█╢a▒i","Nam 48, KED 148."
 440,"*o█na▀▒i", 665,"notch on an arrow","зарубка на стреле","on╞i","o█na▀▒i","Nam 379, KED 1196."
 441,"*to█╤ka▒i",2430,"quiver","колчан","to╤g▓","to█╤ka▒i","Nam 232, KED 486."
 442,"*k┼p", 850,"silk","шелк","k┼p","k┼p","Nam 82, KED 282."
 443,"*kёrk-", 569,"thick","толстый","kuk- [kulk-]","kёrk-","Nam 63, KED 219."
 444,"*ka▀▒na▀▒r-",1004,"thin, fine","тонкий, изящный","kan╞l-","ka▀▒na▀▒r-","Nam 9, KED 5."
 445,"*ku█ri▒",1090,"copper","медь","kuri","ku█ri▒","Liu 83, KED 200."
 446,"*ku█s╞▒r", 890,"pearl(s)","жемчуг","kusul","ku█s╞▒r","Liu 84, KED 204."
 447,"*╢╞█╢h╞▒i-",2069,"to have diarrhoea","страдать поносом","╢┼╢hi-","╢╞█╢h╞▒i-","Nam 438, KED 1538."
 448,"*ka█i'o█-", 742,"to vomit","блевать","keu-","ka█i'o█-","Nam 29, KED 109."
 449,"*si█t╞▒r-",2023,"1 to tire, be tired 2 to be emaciated, wither 3 to be displeased, disinclined; to be unsatisfactory","1 уставать 2 истощаться, увядать 3 быть недовольным, нерасположенным; быть неудовлетворительным","sid╞l- 2, sid╞l-ha- 3","si█t╞▒r- 2, si█t╞▒rЇ▒p- 1","Nam 324, KED 1035."
 450,"*ki█╢h╞▒-", 842,"1 cough 2 to sneeze","1 кашель 2 чихать","ki╢him 1, ki╢hi- 2","ki█╢h╞▒-m 1","Nam 79, KED 275."
 451,"*p╞█n▒╞█r╞█m",1639,"pimple, blotch","прыщ","pus╞rЇm, pёrЇm","p╞█n▒╞█r╞█m","Nam 271, KED 813, 816."
 452,"*ho▒k",2103,"wart","бородавка","hok","ho▒k","Liu 757, KED 1845."
 453,"*╢їrk", 314,"lame","хромой, с больными руками или ногами","","╢їrk","Nam 422."
 454,"*mi█-╢hi▒-",1321,"to be mad","сходить с ума","mi╢hi-","mi█-╢hi▒-","Liu 346, KED 693."
 455,"*ko█po▒-m", 533,"fever, malaria","лихорадка, малярия","","ko█po▒-m","Nam 47."
 456,"*tЇ█tЇ▒i",2328,"rash, scab","сыпь, струп","tЇde╤i","tЇ█tЇ▒i","Nam 148, KED 440."
 457,"*hЇ█m╞▒r",2661,"scar, wound; fault, mistake","шрам, рана; ошибка, вина","hЇmul","hЇ█m╞▒r","Nam 484, KED 1821."
 458,"*nЇ█k",1392,"soul","душа","nЇk [nЇks]","nЇ█k","Nam 104, KED 332."
 459,"*mu█t-",1246,"to dig, bury","копать, хоронить","mut-","mu█t-","Nam 223, KED 674."
 460,"*ku▒t", 892,"hole, pit","дыра, яма","kut, kudЇ╤i","ku▒t","Nam 62, KED 197, 216."
 461,"*na█pa▀▒i",1436,"butterfly","бабочка","nabi","na█pa▀▒i","Nam 88, KED 291."
 462,"*pjЇ█t",1790,"light","свет","pjЇt [pjЇth]","pjЇ█t","Nam 258, KED 786."
 463,"*o█╤ta▒╤- / *u█╤tЇ▒╤-",2528,"pool, bog","лужа, яма, заполненная водой","u╤dЇ╤i, o╤da╤i","u╤tЇ╤, u█╤tЇ▒╤'i▒","Liu 597, 598, KED 1251."
 464,"*╥rm-",2509,"to change place","менять место, передвигаться","╥m- [olm-]","╥rm-","Nam 383, KED 1209."
 465,"*ku▒i", 531,"dawn","рассвет","h▓k:wi","ha▀▒is-ku▒i","Nam 484, KED 1815."
 466,"*tЇ█b-",2331,"be warm","быть теплым","tїp- (-w-)","tїp- (tЇ█w-)","Nam 153, KED 451."
 467,"*no█k-",1231,"1 to melt, dissolve 2 to get warm","1 таять, растворяться 2 теплеть","nok- 1, nuk- 2","no█k-","Nam 112, KED 344, 359."
 468,"*pjЇ█ro▒k", 170,"flea","блоха","pjЇruk","pjЇ█ro▒k","Nam 258, KED 775."
 469,"*k░i-", 703,"to clear up (of weather)","проясняться (о погоде)","k┤-","k░i-","Nam 28, KED 68."
 470,"*Ї█╢Ї▒i",1555,"yesterday","вчера","Ї√e","Ї█╢Ї▒i","Nam 365, KED 1135."
 471,"*░ra▀▒i",  81,"yesterday, in the past","вчера, в предыдущий день, в прошлом","░re 'day before yesterday'","░ra▀▒i, ░ra▒i","Nam 336."
 472,"*pa█t-",1620,"to get, obtain","получать","\Ipat-\i","pa█t-","Nam 244, KED 721."
 473,"*ta█╤'a█ri▒",2304,"shell","раковина","","ta█╤'a█ri▒","Nam 145."
 474,"*su▒i",2126,"crops","урожай, хлеб на корню","","su▒i","Nam 316."
 475,"*t╞█rkuЇ█r",2226,"1 raft 2 stump","1 плот 2 пень","t╞╤gЇl 2","t╞█rkuЇ█r 1, 2","Nam 174, KED 546."
 476,"*k╞█r╞█h",1030,"stubble; stump","стерня; пень","k╞ru","k╞█r╞█ (k╞█r╞█h)","Nam 67, KED 235."
 477,"*ёm",2521,"sprout, bud","росток, почка","ёm","ёm","Nam 392, KED 1248."
 478,"*ptЇ▒rki▒",1843,"bush(es)","куст(ы)","t:Їlgi","ptЇ▒rki▒","Nam 152, KED 447."
 479,"*ko█k╞█ri▒, ko█ko█ri▒",1076,"stalk","стебель","k:ok╢i","ko█k╞█ri▒, ko█ko█ri▒","Nam 45, KED 154."
 480,"*i█sa█k", 674,"sprout, spike","побег, колос","isak","i█sa█k","Nam 401, KED 1330."
 481,"*┼b-, *i█bu▒r-", 652,"to wither, dry up, decline, decay","вянуть, засыхать, ухудшаться, иссякать","iul-","┼p- (┼w-), i█w╞█r-, i█'u▒r-, i█'o▒r-","Nam 401, 403, 407, KED 1335."
 482,"*sa▒rp",1931,"spade, shovel","лопата","\Isap\i","sa▒rp","Nam 292, KED 906."
 483,"*sЇ█p",1919,"firewood","дрова, хворост","sЇp [sЇph]","sЇ█p","Nam 301, KED 961."
 484,"*sko▒r",2029,"forage","фураж, кормовая трава","k:ol","sko▒r","Nam 51, KED 157."
 485,"*ka█sa▀▒i", 983,"thorn","колючка","kasi","ka█sa▀▒i","Nam 5, KED 21."
 486,"*k░r-", 977,"to plough; to grind, plane","пахать; скрести, растирать","kal-","k░r-","Liu 28, KED 43, 44."
 487,"*si█m╞█-",   0,"to plant","","","si█m╞█-",""
 488,"*ki█n▒-", 831,"1 weed 2 to be overrun with weeds","1 сорняк 2 зарасти сорняками","ki╞m 1, kit- [kis-] 2","ki█n▒╞▒m 1, ki█n▒- 2","Nam 79, 83, KED 273, 283."
 489,"*ma▀▒i-",1271,"to pull out, to weed","выдергивать, пропалывать","m▓-","ma▀▒i-","Nam 207, KED 598."
 490,"*ko█b╞█i", 490,"1 bamboo bark 2 patella","1 бамбуковая кора 2 коленная чашечка","","ta▒i-s-ko█'╞█i 1, ko█s-ko█'╞█i 2","Liu 73, 207."
 491,"*kЇ█t-", 487,"1 to gather 2 to gather harvest","1 собирать 2 собирать урожай","kЇt- 1, kЇdu- 2","kЇ█t- 1, kЇ█tu▒- 2","Liu 39, 47, KED 81, 95."
 492,"*pЇ█hi▒-",1869,"to cut, reap, sever","отрезать, отделять, сжинать","p╣-","pЇ█hi▒-","Nam 255, KED 773."
 493,"*pu▒i-, *po▒",1799,"1 to reap, mow 2 plough","1 косить, жать 2 плуг","p┼- (dial.); pos╞p 'plough, ploughshare'","pu▒i- 1, po▒ 2","Nam 259, 269, KED 792, 850."
 494,"*ti█h-",2267,"to pound","молотить","╢:i- [╢:ih-]","ti█h-","Nam 182, KED 1560."
 495,"*ti█k-",2368,"to dip down, imprint","вдавливать, погружать","╢:ik-","ti█k-","Nam 181, KED 1540."
 496,"*thi▒-",2422,"to hit, strike, beat","бить, ударять","╢hi-","thi▒-","Nam 460, KED 1654."
 497,"*ka█pa▀▒i-", 929,"light (of weight)","легкий (о весе)","kabjЇp-","ka█pa▀▒i-ja▒p-","Nam 5, KED 17."
 498,"*s╞█rh-",2186,"to polish, rub off","полировать","s:╞l- [s:╞lh-]","s╞rh-","Nam 322, KED 1028."
 499,"*╢u█k╞▒r", 291,"chaff","мякина","╢uk-╢Ї╤i, ╢:uk-╢Ї╤i","╢u█k╞▒r","Liu 670, KED 1505."
 500,"*╢a█ri▒", 252,"seat; place, location","сиденье; место, расположение","╢ari","╢a█ri▒","Liu 642, KED 1377."
 501,"*su▒h",2551,"male","самец","su-","su▒ (su▒h-)","Nam 313, KED 998."
 502,"*mЇ█rtЇ█kЇ▒n",1289,"bird's navel; (KED) the craw (crop) of a bird or insect","птичий пупок","mЇlt:Їguni","mЇ█rtЇ█kЇ▒n","Nam 212, KED 613."
 503,"*p╞r / *pur",1666,"kidney; testicle","почка; testiculus","pul","p╞r / pur","Liu 399, 407, KED 832."
 504,"*to'a-",2220,"pig","свинья","tw┤√i","","KED 496. The form is not phonetically deducible from MKor. to█t (q.v.) and must represent a different root."
 505,"*╢╞█╢-",2626,"to bark","лаять","╢it- [╢i╢-]","╢╞█╢-","Nam 441, KED 1559."
 506,"*ps-ki▒-",1619,"to press, hold tight, compress","давить, сжимать","k:┼-","pski▒-","Nam 80, KED 262."
 507,"*╢ha▀▒-", 333,"to kick","бить, пинать","╢ha-","╢ha▀▒-","Nam 447, KED 1562."
 508,"*tha▀▒-",2333,"to ride","ехать верхом","","tha▀▒-","Nam 456, KED 1684."
 509,"*tot(h)",2411,"pig","свинья","","\Itot,\i toth","Nam 159, 161."
 510,"*╢a█p-",2580,"to catch, take hold","хватать, брать","╢ap-","╢a█p-","Liu 645, KED 1397."
 511,"*hi▒m",2083,"sinew; strength","жила; сила","\Ihim\i","hi▒m","Nam 500, KED 1901."
 512,"*ku▒p", 835,"hoof","копыто","kup","ku▒p","Liu 90, KED 220."
 513,"*su▒m-",2053,"to hide, conceal","прятать(ся)","sёm-","su▒m-","Nam 315, KED 1020."
 514,"*kurЇi",2746,"waist","поясница","kure, hЇ-guri","","KED 199. The word seems to be different from the attest MKor. ku█rЇ█i 'inner part of body' (v. sub *k`u▒rgo)."
 515,"*po█m-no▒r-",1690,"to ride swiftly","быстро ехать, мчаться","","po█m-no▒r-","Nam 263."
 516,"*i█pa█t-",  59,"1 feast 2 to provide, entertain, help","1 праздник 2 снабжать, предоставлять, помогать","iba√i ha- 2","i█pa█ti▒ 1, i█pa█t- 2","Nam 400, KED 1329."
 517,"*╢a▒n▒", 269,"city wall, fortress, (KED) mountain pass","городская стена, крепость, (KED) горный перевал","╢▓","╢a▒s ( < *╢a▒n▒)","Nam 418, KED 1409. Only the later form ╢a▒s is attested in MKor., but the modern form ╢▓ points unambiguosly to *-n▒-."
 518,"*╢i█╢╞▒r-", 281,"to press down","давить, придавливать","╢i√ir╞-","╢i█╢╞▒r-","Nam 443, KED 1537."
 519,"*k╞█rh-", 808,"to boil","варить(ся)","k:╞r(h)-","k╞█rh-","Nam 74, KED 250."
 520,"*s╞ra-",2049,"lynx","рысь","s╞rasoni","","KED 1024."
 521,"*nїm-",1431,"to exceed, to overflow","превосходить, переходить, переливаться через край","nїm-","nїm-","Nam 105, KED 335."
 522,"*p╢╞▒╢-",1660,"to tear","раздирать","╢:it- (-╢-)","p╢╞▒╢-","Nam 441, KED 1559."
 523,"*pt╞▒-t-, *pta▀█-",1752,"to pinch, pick, pluck","срывать, выщипывать","t:╞t-, t:a-","pt╞▒-t-, pta▀█-","Nam 137, 174, KED 380, 532."
 524,"*sa▀█r-m-",2683,"to boil","варить","s░m- [salm-]","sa▀█rm-","Nam 292, KED 901."
 525,"*ni█k-",1425,"to be boiled, ripen","свариваться, созревать","ik-","ni█k-","Nam 124, KED 1339."
 526,"*ka▀▒r-", 754,"to rub, polish","тереть, полировать","k░l-","ka▀▒r-","Nam 20, KED 43-44."
 527,"*t░m-",2303,"to put (into a dish, etc.)","класть, накладывать","t░m-","t░m-","Nam 142, KED 409."
 528,"*k╟i-", 556,"to make sour (of wine), coagulate","квасить (о вине), сгущать(ся)","","k╟i-ha▀-","Nam 77, HMCH 314."
 529,"*pt╞▒-",1612,"to float","плавать","t:╞-","pt╞▒-","Nam 172, KED 523."
 530,"*ko█r-", 691,"wine fungus, mould, scum","винный грибок, плесень, накипь","kolma√i","ko█r-'a█╢i▒","Nam 51, KED 158."
 531,"*k╥mph-",1119,"1 mould 2 to become mouldy","1 плесень 2 плесневеть","k╥m, k╥mpha╤ 1","k╥mphu▒i- 2","Nam 52, KED 161, 162."
 532,"*p╢╥i-", 198,"to dry on fire, under the sun","сушить на огне, на солнце","╢:w╣-","p╢╥i-","Nam 432, KED 1491."
 533,"*kёb-", 537,"to bake, fry","печь, жарить","kёp- (-w-)","kёp- (ku█'╞▒-)","Nam 63, KED 220."
 534,"*ko█'╞█-", 751,"to boil","варить","k╥-","ko█'╞█-","Nam 48, KED 137."
 535,"*╢i█╢-",   0,"to fry, roast","жарить","","╢i█╢- (HM 315)",""
 536,"*╢╞▒rkЇ▒b- / *╢╞▒rkЇ█b-",2695,"to be glad","радоваться","╢ilgЇp- (-w-)","╢╞▒rkЇ▒p- / ╢╞▒rkЇ█p- (-w-)","Nam 439, KED 1520."
 537,"*na▒i",2688,"smell","запах","n▓","na▒i","Nam 101, KED 315."
 538,"*ma▀█i-b-",1314,"bitter, acid, to make acid","горький, кислый, квасить","m▓p- (-w-)","ma▀█ip- (-w-)","Nam 208, KED 605."
 539,"*tu█thЇ█-b-, *t╥i-",2336,"be thick (of liquids)","быть густым (о жидкостях)","tuthЇp- / tuk:Їp- (-w-), tw╣-","tu█thїp-, tu▒thЇ▒p- (-w-),  t╥i-","Nam 167, Liu 234, KED 498, 501, 507."
 540,"*sa▀█m-",2193,"1 to swallow 2 to penetrate","1 глотать 2 проникать, пронизывать","samkhi- 1, samu-╢hi- 2","sa▀█mski▒- 1, sa▀█ma▀█s-, sa▀█ma▀█╢h- 2","Nam 287, 293, KED 874, 905."
 541,"*pi█ri▒-",1637,"to smell (of raw fish, blood)","пахнуть (сырой рыбой, кровью)","piri-","pi█ri▒-","Liu 412, KED 852."
 542,"*s╞█i-, *sёi-",2669,"1 sour 2 to become sour","кислый","si- 1, sw┼- 2","s╞█i-, sa▀█i- 1, sёi- 2","Nam 296, 322, Liu 479, KED 1022, 1035."
 543,"*ta▀█r-", 353,"sweet","сладкий","tal-","ta▀█r-","Nam 140, KED 403."
 544,"*sp-a▀▒r-",2183,"to suck","сосать","\Ip:al-\i","sp-a▀▒r-","Nam 247, KED 725."
 545,"*s╞▒m╞▒i-",2163,"to soak, permeate","впитываться, просачиваться","s╞mi-","s╞▒m╞▒i-","Nam 318, KED 1025."
 546,"*nЇ█h╞▒r-",1500,"to gnaw, crunch","грызть, глодать","nїl-","nЇ█h╞▒r-","Nam 104, KED 332."
 547,"*hjЇ▒, *ha█r-ha▀▒-",2153,"1 tongue 2 to lick","1 язык 2 лизать","hjЇ 1, \Ihat-\i [halth-] 2","hjЇ▒ 1, ha█r-ha▀▒- 2","Nam 479, 487, KED 1801, 1831."
 548,"*p╢a▀▒-",1792,"salty, briny","соленый","╢:a-","p╢a▀▒-","Nam 415, KED 1375."
 549,"*kЇ█r╞█-", 581,"to strain, filter","процеживать, фильтровать","kЇr╞-","kЇ█r╞█-","Liu 40, KED 82."
 550,"*ka█ph╞▒-", 969,"to compensate, pay back","компенсировать, отплачивать","","ka█ph╞▒-","HMCH 333."
 551,"*sЇ█sk-",2562,"to mix, mix up","смешивать","sЇk:-","sЇ█sk-","Nam 302, KED 942."
 552,"*pёr-",1852,"to blow","дуть","pёl-","pёr-","Nam 267, KED 835."
 553,"*p╞█r╞█- / *p╞▒r╞▒-",1758,"to call","звать","pur╞-","p╞█r╞█- / p╞▒r╞▒-","Nam 270, KED 813."
 554,"*╢hu▒-", 336,"to dance","танцевать","╢hu-","╢hu-; ╢hu▒-m 'dance' (n.)","Liu 701, KED 1629."
 555,"*no█ra▀▒s",1189,"1 fun 2 work","1 забава 2 работа","nor╞t [nor╞s] 2","no█ra▀▒s 1","Nam 111, KED 341."
 556,"*ku█╢i▒╢h-", 843,"to swear","ругать","k:u√it- [-╢-]","ku█╢i▒╢-","Nam 61, KED 207."
 557,"*ta▀█m-",2207,"to soak, immerse","мочить, окунать","tamg╞-","ta▀█m-","Nam 142, KED 409."
 558,"*ki█m╞▒i", 513,"defect (on skin, jade)","дефект, изъян (на коже, драгоценном камне)","kimi","ki█m╞▒i","Nam 79, KED 266."
 559,"*pi█sk-",1780,"slanted, oblique","косой, наклонный","pik:i-, pit:ul-","pi█s-, pi█s-k╞▒-","Nam 279, 280, KED 850, 851."
 560,"*sa█h-",1897,"to pile up, to prop","накладывать, подпирать","s:a- [s:ah-]","sa█h-","Nam 285, 294, KED 919."
 561,"*mёi- / *mu█i'u▒-",1270,"to shake, sway","качать(ся)","mwi- (arch.)","mёi- / mu█i'u▒-","Nam 224, KED 685."
 562,"*u█mu▒k-", 621,"to form a cavity, be depressed","образовывать впадину, быть вогнутым","umuk-ha-, omok-ha-","u█mu▒k-ha▀-, u█mu▒k-","Liu 593, KED 1239."
 563,"*ti█sa█i", 360,"tile","черепица","","ti█sa█i","Nam 179. The word is not attested in modern dictionaries, but KED 920 mentions a bound noun -s▓ 'roof tile', attested in compounds ok-s▓, ma╤-s▓ and pЇt-s▓. It is quite probable that this -s▓ is a later contraction < *ts▓ < tisai."
 564,"*s░i",2188,"straw","солома","\Is▓\i 'straw thatch'","s░i","Nam 295, KED 919."
 565,"*sk╞▒-m, *ski▒-",2048,"1 crack 2 to insert, to sheath","1 щель 2 вкладывать","k:┼- 2","sk╞▒-m 1, ski▒- 2","Nam 74, 80, KED 262."
 566,"*t╞█tk╞█r / *t╞█th╞█r",2472,"dust","пыль","thik:╞l","t╞█tk╞█r / t╞█th╞█r","Nam 172, 173, KED 1726."
 567,"*pta▀▒i",  99,"dirt","грязь","\It:▓\i","pta▀▒i","Nam 147, KED 419."
 568,"*sa█'o█-ri▒",2026,"chair","стул","","sa█'o█ri▒","Nam 285."
 569,"*pa▒p", 441,"food","пища","\Ipap\i","pa▒p","Liu 370, KED 734."
 570,"*o▒s",2535,"clothes","одежда","\Iot\i \I[os]\i","o▒s","Nam 384, KED 1211."
 571,"*╢ub╞r-",2630,"to be hungry, famished","быть голодным, истощенным","╢ёri-","╢ё'╞▒ri█-","Nam 434, KED 1496."
 572,"*ma▀█ra▀█-",1351,"to cut, trim","резать, подрубать","mar╞-","ma▀█ra▀█-","Nam 195, KED 562."
 573,"*h╥-",2665,"to sew, broad-stitch","шить (широкими стежками)","h╥-","h╥-","Nam 490, Liu 755, KED 1840."
 574,"*ta▀█r(b)-",2459,"to pierce","протыкать","t:╞l- [t:╞lh-]","ta▀█r'o▒-, ta▀█rp-, t╟rp-","Nam 141, 142, Liu 254, KED 510."
 575,"*pa█s-",1807,"to strip off, take off (clothes); naked","сдирать, снимать (одежду); голый","pЇt- / pat- [-s-]","pa█s-","Nam 249, KED 735, 771."
 576,"*kїr-", 519,"1 to hang on, put on (smth.) 2 to spread out","1 вешать, надевать (что-л.) 2 расстилать","kїl- 1, kїl╢hi- 1, 2","kїr-thi▒- 1","Nam 38, KED 97, 100."
 577,"*kari-", 952,"miserly","скупой","karin-s╞rЇp-, karin-╢umЇni","karin-╢umЇni (a comp. with ╢umЇni 'pocket')","Liu 20, KED 14 (Martin's derivation < kanrin < Chin. seems dubious)."
 578,"*sku▒-mi▒-",2483,"to ornament","украшать","k:umi-","sku▒-mi▒-","Nam 62, KED 202."
 579,"*pi█n▒-",1618,"to attire; to blossom","наряжать(ся); цвести","","pi█s- (pi█n▒╞▒-)","Nam 280."
 580,"*pЇ█╤k╞▒r-",1862,"to take off clothes; to fade, exuviate","снимать одежду; линять","","pЇ█╤k╞▒r-","Nam 257."
 581,"*Їp-", 440,"beef brisket, breast of ox","грудинка, мясо на груди скота","Їp╢in","","KED 1150."
 582,"*so█k-",2116,"1 to err, be deceived 2 to deceive","1 ошибаться, обманываться 2 обманывать","sok- 1, sogi- 2","so█ki- 2","Nam 307, KED 980, 984."
 583,"*pa█sk",1691,"outside, exterior; other","внешний; другой","pak [pak:]","pa█s, pa█sk","Nam 248, 250, KED 713."
 584,"*sa█-",1878,"to buy","покупать, торговать","sa-","sa█-","Nam 282, KED 869."
 585,"*╥i-", 201,"1 bad, wrong 2 left","1 плохой, неверный 2 левый","╥i- 1, 2","╥i- 1","Nam 386, KED 1221."
 586,"*to█b╞▒i",2198,"barter, trade","торговля","","to█'╞▒i","Nam 157."
 587,"*kї-", 954,"lie, deceit","ложь, обман","kї√it, k░√it [-s]","kї-╢╞▒s (╢╞▒s = ╢╟n▒ 'shape, appearance')","Nam 36, KED 88."
 588,"*╢u▒i", 243,"rat, mouse","крыса, мышь","╢wi","╢u▒i","Liu 673, KED 1517."
 589,"*mёr-",1310,"to pay, compensate","платить, возмещать","mul-, mulli-","mёr-, mu█r'i▒-","Liu 334, Nam 224, KED 677, 679."
 590,"*p┼r-",1767,"to beg, pray","просить, умолять","p┼l-","p┼r-","Nam 279, KED 862."
 591,"*pskёi'i▒-, psku▒-",  97,"to loan, borrow","одалживать, брать в долг","k:ui-, k:u-","pskёi'i▒-, psku▒-","Nam 62, KED 197, 206."
 592,"*sa█sa▀▒r",2085,"bamboo chip, lot","бамбуковая щепка, ветка","\Isat\i [sas]","sa█sa▀▒r","Nam 284, KED 906 (in modern Korean mixed with \I*sat\i 'thin mat', on which see under *zakt`i)."
 593,"*h░▀ija▒-ti▒- ( < Chin.?)",   0,"to be broken, worn, defeated","разрушаться, терпеть поражение","h▓Ї-√i-","h░▀ija▒-ti▒-",""
 594,"*tjЇ█ki▒-",   0,"to dig into, submerge (?)","врывать, погружать","╢Їgi-, ╢egi- 'to kick with heel, nudge with elbow'","tjЇ█ki▒-",""
 595,"*nёi", 679,"world, generation","мир, поколение","","nёi","Nam 116."
 596,"*pёi-",1705,"to rub","тереть","","pёi-","Nam 269."
 597,"*pja█pa▀▒i-",1659,"to mince, rub (in hands)","крошить, растирать (в руках)","pibi-","pja█pa▀▒i-","Liu 374, KED 854."
 598,"*mїi-",1331,"to carry on the shoulder","нести на плече","m╣-","mїi-","Nam 212, KED 616."
 599,"*╢i█-",2629,"to carry on the back","нести на спине","╢i-","╢i█-","Liu 682, KED 1527."
 600,"*spu█-p╞▒i-",1996,"to rub, squeeze","тереть, давить","","spu█p╞▒i-","Nam 267."
 601,"*ps╞▒r-",2166,"to sweep, wipe","мести","s:╞l-","ps╞▒r-","Nam 321, KED 1027."
 602,"*m┼r-",1329,"to push, press","толкать, давить","m┼l-, m┼l-╢hi-","m┼r'oat-, m┼-╢i-","Nam 233, 234, KED 696, 698."
