"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
 108,"*tjЇ█r-",2244,"short","короткий","╢:ap- [╢:alp-], ╢:Їp- [╢:Їlp-]","tjЇ█ra▀█-, tjЇ█r╞█-","Nam 154, KED 1395."
 109,"*pa▀▒ja█m",1876,"snake","змея","p┤m","pa▀▒ja█m","Nam 242, KED 756."
 110,"*jїrp-",1437,"thin","тонкий","jїlp-, j░lp-","jїrp-","Nam 376, KED 1182."
 111,"*pa▀█ra▀█m", 194,"wind","ветер","param","pa▀█ra▀█m","Nam 241, KED 704."
 112,"*pїr-",1755,"bee","пчела","pїl","pїr, pїri","Liu 375, 379, HMCH 50, Nam 254, KED 764."
 113,"*tїr-",2364,"dirty, become dirty","грязный, пачкаться","","tїr-m-","Nam 153."
 114,"*╢ha▀▒-", 265,"to be full, fill","быть полным, наполнять","╢ha-","╢ha▀▒-","Nam 447, KED 1561."
 115,"*k░r(h)-",1027,"1 hair  2 horse's mane","1 волос 2 лошадиная грива","mЇri-kharak, mЇri-khal 1, k░lgi 2","k░rki 2","Liu 28, HMCH 308, KED 43, 608."
 116,"*si█p-",2555,"to hold in mouth, to chew","держать во рту, жевать","\Is:ip-\i","si█p-","Nam 327, KED 1064."
 117,"*╢Ї╤k-", 324,"1 knee 2 shin, shank","1 колено 2 голень","╢Ї╤ga╤i, ╢Ї╤g▓╤i 2","","KED 1450."
 118,"*o█ko▒m",2507,"1 inner angle of knee 2 knee","1 подколенная ямка  2 колено","og╞m 1, 2","o█ko▒m 1","Nam 378, KED 1195. The deriving stem appears to be ok- / uk- 'to bend in, turn in' (KED 1204); the verb is, however, attested very late and may be a back-formation from the noun."
 119,"*╢i▒╢h",2172,"feather","перо","","╢i▒s, ╢i▒╢h","Nam 445, 446."
 120,"*su█'╞█r",2101,"wine, alcoholic drink","вино, алкогольный напиток","sul","su█'╞█r, su█'u█r","Nam 314, KED 1018."
 121,"*kёr-",1105,"to treat, concern","обращаться, обходиться","kёl-","","KED 217."
 122,"*sari-",1946,"1 to beware, be careful, spare oneself 2 wisdom","1 быть осторожным, беречься 2 мудрость","\Isari-\i 1, s╞lgi 2","s╞rk╞i 2","Nam 321, KED 873, 1027. The -╞-vowel in s╞rk╞i is probably a secondary result of assimilation."
 123,"*na▀▒r-",1546,"be extended, extend","растягивать(ся), увеличиваться","n╞l-","na▀▒ri▒-","Nam 92, KED 372."
 124,"*sїr-",2037,"raw, unripe","сырой, недозрелый, недоваренный","sїl-","","KED 950."
 125,"*pi█r╞▒-", 169,"at first, begin","сначала, впервые, начинать","piroso","pi█r╞▒s, pi█r╞▒so▒","Nam 276, 277, KED 852."
 126,"*m╥r-",1319,"to pursue, drive","преследовать, гнать","mol-","m╥r-","Liu 325, HMCH 307, KED 641."
 127,"*par",1615,"tooth (in comp. with *ni-)","зуб (в слож. с *ni-)","ip:al","ni-s-par","Nam 127, KED 1369."
 128,"*p╢a-k",1675,"1 pair 2 one of a pair","1 пара  2 один из пары","╢:ak 2","p╢a█k 1, 2","Nam 415, KED 1386."
 129,"*m╞█r╞█-",2657,"to return, turn around, retreat","возвращать(ся), поворачиваться, отступать","mur╞-","m╞█r╞█-","Nam 226, KED 657."
 130,"*ta(h)-", 346,"following","следующий","ta╞-m","","KED 388."
 131,"*tor╢ (-s)", 382,"anniversary (cycle)","полный год, годовщина","\Itot\i [tols], tol","\Itors\i","Liu 230, KED 478."
 132,"*muri, *mu▒r",1260,"1 crowd, many 2 every","1 толпа, множество 2 каждый","muri 1","mu▒r 2","Nam 223, KED 657."
 133,"*ka█ma▒", 812,"crown of head","верхушка головы","kama","ka█ma▒","Liu 20, HMCH 51, KED 14."
 134,"*t╞█r-",2791,"to hold, lift","держать, нести; поднимать","t╞l-","t╞█r-","HMCH 336, KED 535."
 135,"*a▒mh", 428,"woman, wife, female","женщина, жена, самка","\Iam\i","a▒m (a▒mh-)","Nam 348, KED 1093."
 136,"*po█so█i- / *pus╞i-",1808,"to wash, sprinkle","мыть, брызгать","pusi-","po█so█i- / pusoi-","Nam 261, 265, KED 816."
 137,"*mo▒m",1293,"body","тело","mom","mo▒m","Nam 218, KED 645."
 138,"*koka▀i-", 867,"heart of wood, pith, core","сердцевина","kog▓╤i","koka▀ija╤","Nam 45, KED 134."
 139,"*p╞█r╞█-", 113,"thick, satiated","толстый, сытый","pur╞-","p╞█r╞█-","Nam 270, KED 813."
 140,"*na▀r",1474,"smth. raw, fresh","нечто сырое, свежее","nal","na▀r","Nam 96, KED 302."
 141,"*kari", 770,"rib(s)","ребро, ребра","kalbi","kari-spjЇ","Nam 3, KED 46."
 142,"*╞s╞r-", 610,"to grind, crush","разбивать, дробить, ломать","╞s╞rЇ-(t:╞rida)","","KED 1287."
 143,"*╢ёr", 248,"file","напильник","╢ёl","╢ёr","Liu 672, HMCH 251, KED 1507."
 144,"*╢a▀ra-", 229,"be sufficient, enough","быть достаточным","╢ara-","╢a▀ra-","Nam 412, KED 1375."
 145,"*ta█ri▒",2410,"leg","нога","tari","ta█ri▒","Nam 129, KED 383."
 146,"*o█ra▒-",2545,"late, long ago","поздний, давний","or▓-","o█ra▒-","Nam 379, KED 1198."
 147,"*tЇ-",2236,"still more, moreover","еще больше, сверх","\ItЇ\i","","KED 439."
 148,"*a█k-",  13,"1 mouth 2 a little open, apart 3 opening, slit","1 рот 2 приоткрытый 3 отверстие","aguri 1, agu 2, ag╞t [ak╞s] 3","akui, i█p-a█ko▒i 1","Nam 333, 407, KED 1067."
 149,"*pёri█",1686,"beak","клюв","pёri","pёri█","Nam 265, KED 814."
 150,"*pjЇr-",1793,"precipice; road above precipice","обрыв; дорога над обрывом","pjЇra╤, pjЇre, pjЇru","pjЇro, pjЇr","Nam 258, KED 775."
 151,"*pЇ█k╞▒-",2787,"next, following","следующий","pЇg╞m","pЇ█k╞▒-","Nam 254, KED 758."
 152,"*ka, *ko", 959,"interrogative particle","вопросительная частица","\I-ka,\i \I-ga,\i \I-ko,\i \I-go\i","\I-ka,\i \I-ko▒\i","Nam 45, KED 2, 133."
 153,"*╢jїr-", 241,"to be salty","быть соленым","╢їl- [╢jїl-]","","KED 1442."
 154,"*k╞█s-", 800,"1 to press 2 with force, strongly 3 to stop, put an end to smth.","1 давить, угнетать 2 с силой, сильно 3 прекращать","k╞╢hi-, k:╞╢hi- 3 ( < *k╞s-╢hi-)","k╞█s-nu█r╞▒- 1, k╞█s- 3, k╞▒s 2","Nam 75, KED 241. High tone recorded in the adverb is not quite clear (perhaps expressive; one cannot exclude, however, that it is original, being replaced in the verbal stem by the productive low tone)."
 155,"*sar-",2549,"gentle, cool (of wind)","слабый, прохладный (о ветре)","salla╤, sЇllЇ╤, salgira╤","","KED 897."
 156,"*sik-",2173,"to cool off","остывать","sik-","","KED 1045."
 157,"*ha▀█-",1961,"to make, auxiliary verb","делать, служебный глагол","\Iha-\i","ha▀█-","Nam 470, KED 1781."
 158,"*a█ta▀▒r",  57,"son","сын","ad╞l","a█ta▀▒r","Nam 335, KED 1069."
 159,"*pїr-", 108,"to earn","зарабатывать","pїl-","","KED 765."
 160,"*╢u█r-ki▒", 224,"stalk, branch without leaves","стебель, ветка без листьев","╢ulgi, ╢ulgЇri","╢u█rki▒","Liu 672, HMCH 297, KED 1507."
 161,"*kub╞r-",1141,"roll","катиться","kёl-, kur╞-","ku█'╞█r-, ku█'ur-","Nam 60, KED 199, 217."
 162,"*sa▒r",2097,"arrow; sting","стрела; жало","\Isal\i","sa▒r","Liu 436, HMCH 277, KED 895."
 163,"*na▒h",1390,"age","возраст","\Ina,\i \In▓\i","na▒ (na▒h-)","Nam 85, KED 284."
 164,"*pa▀▒i",1775,"boat","лодка","\Ip▓\i","pa▀▒i","Nam 251, KED 743."
 165,"*hЇ█-",2042,"1 waist 2 shagreen, skin (of snake etc.)","1 поясница 2 сброшенная кожа, кожа (змеи etc.)","hЇri, hЇ-guri 1, hЇmul 2","hЇ█ri▒ 1, hЇ█╤'u█r 2","Nam 484, 486, KED 1821."
 166,"*╢╞rЇ", 250,"before, beforehand","прежде, заранее","╢ire","╢╞rЇ, ╢╞rjЇ","Nam 436, KED 1529."
 167,"*pu█h╞▒i-",  86,"grey, milky white","серый, молочно-белый","pёjЇ- [pёjЇh-], p╥ja- [p╥jah-]","pu█h╞▒i-","Nam 267, KED 792, 818."
 168,"*korh-",1114,"to get stale, rot","черстветь, сгнивать, протухать","kol- [kolh-]","","KED 160."
 169,"*na█ra▒h",1414,"country","страна","nara","na█ra▒h","Nam 87, KED 287."
 170,"*ko╢",1073,"1 spit, skewer; awl, gimlet 2 to stick in","1 вертел; шило 2 втыкать","kot [kos], k:o√i 1, k:ot- [k:o╢-] 2","ko╢ 1, ko█╢- 2","Nam 54, KED 164, 174. The accent of the noun is unknown; the verbal stem has a usual low tone."
 171,"*kЇ█m╞▒i", 916,"spider","паук","kЇmi","kЇ█m╞▒i","Nam 32, KED 84."
 172,"*ma▒s",  34,"taste","вкус","\Imat\i \I[mas],\i mЇt [mЇs]","ma▒s","Nam 203, KED 588, 614."
 173,"*i▒p", 583,"door","дверь","","i▒p","Nam 406."
 174,"*na█n▒(a▀▒)-",1533,"to go, move forward","идти, двигаться вперед","n░t- [nas-], naa-ka-","n░s- (nan▒-), nan▒-, na█n▒a▀▒-","Nam 89, 99, 101, KED 292, 311."
 175,"*na▀█ma▀█rh",1204,"vegetables, greens","овощи, зелень","namul","na▀█ma▀█r  (na▀█ma▀█rh-)","Nam 92, KED 289."
