"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
1215,2187,"淋","深開三平侵來","3218 2106","lin 12","liẽ 12","liẽ 12","liŋ 1","nin 12","nin 12","lĩ 12","lin 12","leŋ 12","nin 12","nin 12","lin 31","lim 12","lam 12","lim 12","lim 12","liŋ 12","",""
1216,2192,"淹","咸開三平咸影","3238 1893","ian 11","iã 11","iã 11","iɛ 1","iã 11; ian 11 (lit.)","ŋan 11","î̃ 11","î 11","i 21","iẽ 11","î̃ 11","ŋan 11","jam 2","jin 11","iam 11 (lit.); iam 31","iəm 11","ieŋ 11","î 1","iem 1"
1217,2194,"混","臻合一上混匣","3236 2194","xuən 3","xuẽ 3","xuẽ 3","xuŋ 3","xuən 3","xuən 3","xuən 3","ɦuən 32","vaŋ 32","fən 2","ɣuən 32","фun 32","fun 2","uan 32","hun 32","huŋ 22","xouŋ 32","uəŋ 32","xuən 3"
1218,2197,"淒","蟹開四平齊清","3346 0666","ćhi 11","ćhi 11","ćhi 11","ćhi 1","ćhi 11","ćhi 11","ćhi 11","chi 11","chei 11","chi 11","ćhi 11","ćhi XH","chi 11","čhai 11","che 11","chi 11","chɛ 11","chi 1","chi 1"
1219,2200,"淚","止合三去至來","3223 1174","lei 3","luei 3","luei 3","luei 3","nei 3","nuei 3","luəi 3","le̲ 32","lo̲y 32","nei 31 (lit.); nei 32","ny 32; ni 32","lui 32","lui 3","lö̲y 32","lui 32","lui 22","luei 32","lei 32","luei 3"
1220,2205,"深","深開三平侵書","3234 2069","ṣən 11","ṣẽ 11","ṣẽ 11","səŋ 1","sən 11","sən 11","sən 11","sən 11","saŋ 11","ṣən 11","śin 11","sən 11","chəm 11","šam 11","chim 11","chim 11","siŋ 11","səŋ 1","šiəm 1"
1221,2206,"淮","蟹合二平皆匣","3232 1127","xuai 12","xuɛ 12","xuɛ 12","xuai 1","xuai 12","xuai 12","xuɛ 12","ɦue̲ 12 (lit.); ɦua̲ 12","va 12","fai 12","ɣua 12","фuai 31","fɔi 12","uāi 12","huai 12","huai 12","xuai 12","",""
1222,2207,"淨","梗開三去勁從","3228 2576","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćin 3","ćiŋ 3","ćĩ 3","zin 32","zeŋ 32","cin 31 (lit.); cin 32","ʒ́in 32","ćhin 32 (lit.); ćhiaŋ 32","chiaŋ 3","čîŋ 32","cîŋ 32","ceŋ 22","ciŋ 32 (lit.); ciaŋ 32","ziŋ 32","ciəŋ 3"
1223,2208,"淆","效開二平肴匣","3216 1486","śiau 12; iau 12","iɔ 12","ńiau 12","śiau 1","śiau 12","śiau 12","śiɔ 12","iä 12","ɦuɔ 12","śiau 12","ɣiə 12","","hau 12","ŋāu 12","ŋaũ 12","ŋau 12","ŋau 12","",""
1224,2214,"烹","梗開二平庚滂","3534 2407","phəŋ 11","phəŋ 11","phəŋ 11","phəŋ 1","phən 11","phən 11","phɔuŋ 11","phən 11","phiɛ 11","phôn 11","phiɛ̃ XH","phən 11","","phāŋ 11","phîŋ 11","pheŋ 11","pheiŋ 11","phəŋ 1","phəŋ 1"
1225,2219,"爽","宕開三上養生","3642 2382","ṣuaŋ 2","ṣuaŋ 2","faŋ 2","sã̲ 2; suã̲ 2","suaŋ 2","suaŋ 2","suâŋ 2","sa̲ŋ 2","śyɔ 21","śyan 2","saŋ 2","sɔŋ 2","sɔŋ 2","šɔŋ 21","sɔŋ 2","suaŋ 21","souŋ 2","sã̲ 3","šuaŋ 2"
1226,2221,"牽","山開四平先溪","3677 1862","ćhian 11","ćhiã 11","ćhiã 11","ćhiɛ 1","ćhian 11","ćhian 11","ćhî̃ 11","ćhî 11","ćhi 11","ćhiẽ 11","ćhî̃ 11","ćhiɛn 11","khian 11","hin 11","khian 11 (lit.); khan 11","khaŋ 11","kheiŋ 11","ćhî 1","khien 1"
1227,2222,"犁","蟹開四平齊來","3680 0597","li 12","li 12","li 12","li 1","ni 12","ni 12","li 12","li 12","lei 12","ni 12","ni 12","li 31","lai 12","lai 12","le 12 (lit.); lue 12","loi 12","lɛ 12","li 32","li 12"
1228,2223,"猜","蟹開一平咍清","3719 1073","chai 11","chɛ 11","chɛ 11","chai 1","chai 11","chai 11","chɛ 11","che̲ 11","che̲ 11","chai 11","cha 11","chai 11","chai 11","čhāi 11","chai 11","chai 11","chai 11","chö 1","chai 1"
1229,2224,"猛","梗開二上梗明","3718 2418","məŋ 2","məŋ 2","məŋ 2","məŋ 2","moŋ 2","moŋ 2","mɔuŋ 2","mən 2","miɛ 22","moŋ 2  (lit.); mən 2","maŋ 2","mɛn 2","mɛn 2  (lit.); maŋ 2","māŋ 22","bîŋ 2  (lit.); mĩ 2; mẽ 2","me 21","meiŋ 2","məŋ 32","muŋ 2"
1230,2228,"率","止合三去至生","3764 1118","ṣuai 3","ṣuɛ 3","fe 3","suai 3","suai 3","so 3","sue 3","se̲ 31","sai 41","śyai 31","sue 31","sai 31","sai 3","šö̲t 41","sut 41","suk 41","so̲y 31","sôʔ 4","šuai 3"
1231,2231,"球","流開三平尤群","3808 1604","ćhiou 12","ćhiou 12","ćhiou 12","ćhiou 1","ćhiou 12","ćhiəu 12","ćhiôɨ 12","ʒ́iöy 12","ʒ́iau 12","ćiôu 12","ʒ́iû 12","ćiu 11","khiu 12","khau 12","khiu 12","kiu 11","kieu 12","ćiɨ 32","khiou 12"
1232,2232,"理","止開三上止來","3810 0606","li 2","li 2","li 2","li 2","ni 2","ni 2","li 2","li 32","lei 22","ni 2","ni 2","li 2","li 11","lei 22","li 2","li 21","li 2","",""
1233,2233,"現","山開四去霰匣","3807 1891","śian 3","śiã 3","śiã 3","śiɛ 3","śian 3","śian 3","śî̃ 3","î 32","ɦi 32","śiẽ 32; śiẽ 31 (lit.)","ɣî̃ 32","śiɛn 32","hian 3","jin 32","hian 32","hiŋ 32","xieŋ 32","iî 32","xien 3"
1234,2235,"瓶","梗開四平青並","3910 2522","phiŋ 12","phiŋ 12","phiŋ 12","phiŋ 1","phin 12","phin 12","phĩ 12","bin 12","beŋ 12","pin 12","bin 12","phin 12","phiaŋ 12","phîŋ 12","pîŋ 12 (lit.); pin 12; pan 12","pheŋ 12","piŋ 12","piŋ 32","phiəŋ 12"
1235,2236,"瓷","止開三平脂從","3911 0416","chi̲ 12","chi̲ 12","chi̲ 12","chi̲ 1","chi̲ 12","chi̲ 12","chi̲ 12","zi̲ 12","zi̲ 12","ci̲ 12","ʒi̲ 12","chi̲ 12","chi̲ 12","čhi 12","cu 12","chi̲ 12","cy 12","zi̲ 32",""
1236,2237,"甜","咸開四平添定","3929 1799","thian 12","thiã 12","thiã 12","thiɛ 1","thian 12","thian 12","thî̃ 12","dî 12","di 12","thiẽ 12","dî̃ 12","thiɛn 12","thiam 12","thim 12","tiam 12 (lit.); thĩ̲ 12","tiəm 12","tieŋ 12","tî 32","thiem 12"
1237,2238,"產","山開二上產生","3934 1725","c̣han 2","c̣hã 2","chã 2","chä̃ 2","chan 2","chuan 2","chɛ̃ 2","che̲ 2","cha 21","chan 2","chã 2","chan 2","san 2","čhān 21","san 2  (lit.); suã 2","suã 21","saŋ 2","che̲ 3","čhan 2"
1238,2239,"略","宕開三入藥來","3970 0382","lye 3","luə 3","luo 11","lyəʔ 41","nio 12","ńio 12","liâʔ 4","lia̲ʔ 42","liɛ 42","ńio 4","liû 12","liɔk 41 (lit.); ńiɔk 41","liɔk 42","lö̲k 42","liɔk 42 (lit.); lioʔ 42","liak 42","luɔʔ 42","liaʔ 42","liau 43"
1239,2241,"畢","臻開三入質幫","3968 0543","pi 3","pi 3","pi 11","piəʔ 41","pi 12","pi 12","piəʔ 4","piôʔ 41","pi 41","pi 4","pi 12","pit 41","pit 41","pat 41","pit 41","pik 42","pei 41","pîʔ 4","pi 42"
1240,2242,"異","止開三去志以","3976 0724","i 3","i 3","i 3","i 3","i 3","i 3","i 3","i 32","ɦi 32","i 31 (lit.); i 32","i 32","ńi 32","ji 3","ji 32","i 32","i 22","ei 32","ii 32","i 3"
1241,2243,"疏","遇合三平魚生","3990 0884","ṣu 11","ṣu 11","fu 11","su 1","sou 11","su 11","su 11","səu 11","si̲ 11","sôu 11","səu 11","su 11","si̲ 11","šɔ 11","si̲ 11","so 11","sö̲ 11; su 11 (lit.)","su 1","šu 1"
1242,2251,"盒","咸開一入合匣","4139 0207","xô 12","xə 12","xuo 12","xaʔ 42; xəʔ 42","xo 12","xo 12","xəʔ 4","ɦaʔ 42","ɦö 42","xo 4","xuɛ 31","hɔt 41","hap 42","hap 42","ap 42","ap 42","aʔ 42","ɦaʔ 42","xo 41"
1243,2252,"盛","A: 梗開三平清襌; B: 梗開三去勁襌","A: 4141 2479; B: 4141 2493","A: c̣həŋ 12; B: ṣəŋ 3","A: c̣həŋ 12; B: ṣəŋ 3","A: c̣həŋ 12; B: ṣəŋ 3","A: chəŋ 1; B: səŋ 3","A: chən 12; B: sən 3","A: ; B: sən 3","A: chən 12; B: sən 3","A: zən 12; B: zən 32","A: zeŋ 12; B: zeŋ 32","A: c̣ən 12; B: ṣən 32","A: ʒ́in 12 (lit.); din 12; B: ɣin 32","A: chan 12; B: sən 32","A: ; B: sɛn 3","A: šîŋ 12; B: šîŋ 32","A: sîŋ 12; B: sîŋ 32","A: seŋ 12; B: seŋ 22","A: siŋ 12; B: seiŋ 32","A: zəŋ 32; zã 32; B: zaŋ 32","A: čhiəŋ 12; B: šiəŋ 3"
1244,2253,"眷","山合三去線見","4187 1991","ćyan 3","ćyã 3","ćyã 3","ćyɛ 3","cuan 3","ćyan 3","ćyî̃ 3","ćiö 31","ćy 31","ćyẽ 31","tuĩ 31","ćyɔn 31","khian 2","kyn 31","kuan 31","kueŋ 31","kuɔŋ 31","ćyö 3","kyen 3"
1245,2254,"眾","通合三去送章","5883 2666","c̣uŋ 3","c̣uŋ 3","pfoŋ 3","cuŋ 3","coŋ 3","coŋ 3","cɔuŋ 3","coŋ 31","ćyoŋ 31","c̣oŋ 2","ćin 31","cuŋ 31","cuŋ 3","čuŋ 31","ciɔŋ 31","ceŋ 31","cöyŋ 31","coŋ 3","čiuŋ 3"
1246,2255,"眼","山開二上產疑","4190 1907","ian 2","iã 2","ńiã 2","iɛ 2","ian 2","ian 2","î̃ 2","î 32 (lit.); ŋe̲ 32","ŋa 22","iẽ 2  (lit.); ŋan 2","ŋã 2","ŋan 2","ńian 2","ŋān 22","gan 2  (lit.); gîŋ 2","ŋaŋ 21","ŋaŋ 2","ŋe̲ 32","ian 2"
1247,2259,"硫","流開三平尤來","4288 1581","liou 12","liou 12","liou 12","liou 1","niou 12","niəu 12","liôɨ 12","löy 12","liu 12","niôu 12","niû 12","liu 31","liu 12","lau 12","liu 12","liu 12","lieu 12","liɨ 32","liou 12"
1248,2261,"祥","宕開三平陽邪","4382 2346","śiaŋ 12","śiaŋ 12","śiaŋ 12","śiã̲ 1","śiaŋ 12","śiaŋ 12","śiâŋ 12","ziaŋ 12","ɦi 12","cian 12","ʒ́iaŋ 12","śiɔŋ 31","siɔŋ 12","čhö̲ŋ 12","siɔŋ 12 (lit.); ʒiɔŋ 12","siaŋ 12","suɔŋ 12","ziã 32","siaŋ 12"
1249,2262,"票","效開三去笑滂","4384 1413","phiau 3","phiɔ 3","phiau 3","phiau 3","phiau 3","phiau 3","phiɔ 3","phiä 31","phiɛ 31","phiau 31","phiə 31","phiɛu 2","phiau 3","phiu 31","phiau 31","phie 31","phieu 31","phiɔ 3",""
1250,2263,"祭","蟹開三去祭精","4385 0647","ći 3","ći 3","ći 3","ći 3","ći 3","ći 3","ći 3","ci 31","cei 31","ci 31","ći 31","ći 31","ci 3","čai 31","ce 31","ci 31","cie 31","ci 3","ci 3"
1251,2264,"移","止開三平支以","4448 0709","i 12","i 12","i 12","i 1","i 12","i 12","i 12","i 12","ɦi 12","i 12","i 12","i 31","ji 12","ji 12","i 12","i 12","ie 12","ii 32","i 12"
1252,2268,"笨","臻合一上混並","5470 2028","pən 3","pẽ 3","pẽ 3","pəŋ 3","pən 3","pən 3","pən 3","bən 32","baŋ 32","pən 32","pin 2","pən 32","pun 3","pan 32","pun 32","puŋ 31","pouŋ 32","pəŋ 32",""
1253,2269,"笛","梗開四入錫定","4564 0571","ti 12","ti 12","ti 12","tiəʔ 42","ti 12","ti 12","tiəʔ 4","diôʔ 42","di 42","ti 4","thi 12","thit 41","thit 42","tîk 42","tîk 42","tek 42","tiʔ 42","",""
1254,2270,"第","蟹開四去霽定","4574 0576","ti 3","ti 3","ti 3","ti 3","ti 3","ti 3","ti 3","di 32","dei 32","ti 32","di 32","thi 31","thi 3","tai 32","te 32","toĩ 22","ta 32","ti 32","ti 3"
1255,2271,"符","遇合三平虞奉","4569 0769","fu 12","fu 12","fu 12","fu 1","fu 12","fu 12","fu 12","vu 12","vo̲y 12","fu 12","ɣəu 12","фu 31","fu 12","fu 12","hu 12","hu 12","xu 12","vu 32","fu 12"
1256,2275,"粒","深開三入緝來","4721 0618","li 3","li 3","li 11","liəʔ 41","ni 12","ni 12","liəʔ 4","liôʔ 42","lö 42","ni 4","ni 31","lit 41","lip 41","lap 41","lip 42 (lit.); liap 42","liəp 42","laʔ 42","lîʔ 42","li 43"
1257,2276,"粗","遇合一平模清","4723 0837","chu 11","chu 11","chou 11","chu 1","chou 11","chu 11","chu 11","chəu 11","cho̲y 11","chôu 11","chəu 2","chu 11","chi̲ 11","čhou 11","chɔ 11","chou 11","chu 11","chu 1","chu 1"
1258,2280,"統","通合一去宋透","4827 2629","thuŋ 2","thuŋ 2","thoŋ 2","thuŋ 2","thoŋ 2","thoŋ 2","thɔuŋ 2","thoŋ 2","thoŋ 21","thoŋ 2","thaŋ 2; thən 2","thuŋ 2","thuŋ 2","thuŋ 21","thɔŋ 2","thoŋ 21","thuŋ 2","thoŋ 3","thuŋ 2"
1259,2281,"紮","山開二入黠莊","4796 0046","ca 11","c̣a 11","ca 2","caʔ 41","ca 12","ca 12","caʔ 4","caʔ 41","ca 41","ca 4","ca 12","cat 41","cap 41","čāt 43","cat 41","cap 41","caʔ 41","caʔ 4",""
1260,2282,"紹","效開三上小襌","4801 1378","ṣau 3","ṣɔ 3","ṣau 12","sau 1","sau 3","sau 3","sɔ 3; sɔ 12","zä 32","ɦiɛ 32","ṣau 31","ɣiə 32","sɛu 32","sau 3","šiu 32","siau 32","siəu 22","sieu 32","zɔ 32","šiau 3"
1261,2285,"細","蟹開四去霽心","4798 0702","śi 3","śi 3","śi 3","śi 3","śi 3","śi 3","śi 3","si 31","sei 31","si 31","śi 31","śi 31","sɛ 3","šai 31","se 31 (lit.); sue 31","soi 31","sa 31","si 3","si 3"
1262,2287,"組","遇合一上姥精","4809 0835","cu 2","cu 11","cou 2","cu 2","cou 2","cu 2","cu 2","cəu 2","cəu 21","côu 2","cəu 2","cu 2","ci̲ 11","čou 21","cɔ 2","cu 21","cu 2","cu 3","cu 2"
1263,2288,"累","A: 止合三上紙來; B: 止合三去寘來","A: 4797 1171; B: 4797 1172","A: lei 2; B: lei 3","A: luei 3; B: luei 3","A: luei 2; B: luei 3","A: luei 2; B: luei 3","A: nei 2; B: nei 3","A: nuei 2; B: nuei 3","A: luəi 2; B: luəi 3","A: le̲ 32; B: le̲ 32","A: lai 22; B: lai 22","A: nei 2; B: nei 32","A: ny 2; B: ny 32","A: lui 2; B: lui 32","A: lui 2; B: lui 3","A: lö̲y 22; B: lö̲y 32","A: lui 2; B: lui 32","A: lui 21; B: lui 32","A: luei 2; B: luei 31","A: lei 32; B: lei 32","A: ; B: luei 3"
1264,2289,"終","通合三平東章","4807 2661","c̣uŋ 11","c̣uŋ 11","pfoŋ 11","cuŋ 1","coŋ 11","coŋ 11","cɔuŋ 11","coŋ 11","ćyoŋ 11","c̣oŋ 11","ćin 11","cuŋ 11","cuŋ 11","čuŋ 11","ciɔŋ 11","coŋ 11","cyŋ 11","coŋ 1","čiuŋ 1"
1265,2293,"羞","流開三平尤心","5026 1605","śiou 11","śiou 11","śiou 11","śiou 1","śiou 11","śiəu XH","śiôɨ 11","söy 11","śiu 11","siôu 11","siû 11","śiu 11","siu 11","šau 11","siu 11","siu 11","sieu 11","",""
1266,2297,"習","深開三入緝邪","5045 0696","śi 12","śi 12","śi 12","śiəʔ 42","śi 12","śi 12","śiəʔ 4","ziôʔ 42","zai 42","si 4","śi 12","śit 41","sip 42","čāp 42","sip 42","sip 42","siʔ 42","zîʔ 42","si 41"
1267,2299,"聊","效開四平蕭來","5108 1434","liau 12","liɔ 12","liau 12","liau 1","niau 12","niau 12","liɔ 12","liä 12","liɛ 12","niau 12","niə 12","liɛu 31","liau 12","liu 12","liau 12","liəu 12","lieu 12","liɔ 32","liau 12"
1268,2301,"脯","A: 遇合三上噳非; B: 遇合一平模並","A: 5194 0777; B: 5194 0745","A: fu 2; B: phu 12","A: fu 2; B: phu 12","A: fu 2; B: phu 12","A: fu 2; B: phu 1","A: fu 2; B: phu 2","A: phu 2; B: phu 2","A: phu 2; B: phu 2","A: fu 2; B: bu 12","A: fu 21; B: bu 12","A: fu 2; B: pu 12","A: xəu 2; B: bu 12","A: phu 2; B: phu 2","A: phu 2; B: phu 12","A: fu 21; B: phou 21","A: hu 2; B: pɔ 12","A: pou 21; B: pou 21","A: phuɔ 2; B: puɔ 2","A: phu 3; B: phu 3","A: fu 2; B: phu 12"
1269,2303,"脣","臻合三平諄船","5188 2176","c̣huən 12","c̣huẽ 12","fẽ 12","chuŋ 1","ćhyn 12","suən 11","chuən 12","zən 12","ɦyoŋ 12","śyn 12","ɣin 12","sən 31","sun 12","šö̲n 12","tun 12","tuŋ 12","suŋ 12","zəŋ 32","čhyən 12"
1270,2304,"脫","山合一入末透","5192 0256","thuo 11","thuə 11","thuo 11","thuaʔ 41; thuəʔ 41","tho 12","tho 12","thoʔ 4","thôʔ 41","thö 41","tho 4","thuɛ 12","thɔt 41","thɔt 41","thyt 43","thuat 41","thuk 41","tuaʔ 41","thoʔ 4","thuo 42"
1271,2308,"舂","通合三平鍾書","5277 2672","c̣huŋ 11","c̣huŋ 11","pfhoŋ 11","chuŋ 1","choŋ 11","choŋ 11","chɔuŋ 11","soŋ 11","ćhyoŋ 11","c̣hoŋ 11","ćhin 11","chuŋ 11","chuŋ 11","čhuŋ 11","chiɔŋ 11","ceŋ 11","cyŋ 11","chəŋ 1","čhiuŋ 1"
1272,2312,"船","山合三平仙船","5307 1946","c̣huan 12","c̣huã 12","pfhã 12","chuä̃ 1","chuan 12","chuan 12","chuõ 12","zö 12","ɦy 12","ćyẽ 12","duĩ 12","suɔn 31","sɔn 12","syn 12","suan 12 (lit.); cun 12","cuŋ 12","suŋ 12","zö 32","čhyen 12"
1273,2320,"莫","宕開一入鐸明","5459 0244","mo 3","mə 3","mo 12","maʔ 41; məʔ 41","mo 12","mo 12","mâʔ 4","moʔ 42","mo 42","mo 11","mo 31","mɔk 41","mɔk 42","mɔk 42","bɔk 42 (lit.); boʔ 42","mok 42","mouʔ 42","moʔ 42","mo 43"
1274,2322,"莊","宕開三平陽莊","5445 2367","c̣uaŋ 11","c̣uaŋ 11","pfaŋ 11","cuã̲ 1","cuaŋ 11","cuâŋ 11","cuaŋ 11","ca̲ŋ 11","cɔ 11","ćyan 11","caŋ 11","cɔŋ 11","cɔŋ 11","čɔŋ 11","cɔŋ 11 (lit.); cŋ 11","cɨŋ 11","couŋ 11","cã̲ 1","čuaŋ 1"
1275,2326,"荷","果開一平歌匣","5440 0203","xô 12","xə 12","xuo 12","xə 1","xo 12","xo 12","xo 12","ɦəu 12","xu 12","xo 12","ɣû 12","ho 12","hɔ 12","hɔ 12","o 12","ho 12","xɔ 12","ɦu 32","xo 12"
1276,2332,"處","A: 遇合三上語昌; B: 遇合三去御昌","A: 5710 0878; B: 5710 0879","A: c̣hu 2; B: c̣hu 3","A: c̣hu 3; B: c̣hu 3","A: pfhu 2; B: pfhu 3","A: chu 2; B: chu 3","A: ćhy 2; B: ćhy 3","A: chu 2; B: chu 3","A: chu 2; B: chu 3","A: chü 2; B: chü 31","A: chi̲ 21; B: chi̲ 31","A: ćhy 2; B: ćhy 31","A: thy 2; B: thy 31","A: ćhy 2; B: ćhy 2","A: chu 3; B: chu 3","A: čhu 21; B: čhy 31","A: chu 2; B: chu 31","A: chu 31; B: chu 31","A: chy 2; B: chy 31","A: cü 3; B: cü 3","A: čhiu 2; B: čhiu 3"
1277,2333,"彪","流開三平幽幫","1753 1405","piau 11","piɔ 11","piau 11","piau 1","piau 11","piau 11","piɔ 11","piä 11","piɛ 11","piau 11","piə 11","piɛu 11","phiau 11","piu 11","piu 11","piəu 11","pieu 11","piɔ 1","piou 1"
1278,2334,"蛇","假開三平麻船","5748 0167","ṣô 12","ṣa 12","ṣô 12","sö 1","sô 12","se 12","śî 12","zo 12","zei 12","ṣô 12 (lit.); ṣa 12","ɣio 12","sa 31","sa 12","šɛ 12","sia 12 (lit.); cua 12","cua 12","siɛ 12","zo 32","šie 12"
1279,2335,"蛀","遇合三去遇章","5746 0864","c̣u 3","c̣u 3","pfu 3","cu 3","ćy 3","cu 3","cu 3","cü 31","ci̲ 31","ćy 31","ty 31","ćy 31","cu 3","čy 31","cu 31","cu 31","cy 31","cü 3",""
1280,2339,"蛆","遇合三平魚清","5747 0976","ćhy 11","ćhy 11","ćhy 11","ćhy 1","ćhy 11","ćhy 11","ćhy 11","chi 11","chəu 11","ćhy 11","ćhy 11","ćhy 11","ci̲ 11","čö̲y 11","chu 11","cu 11","chy 11","chy 1","chiu 1"
1281,2340,"蛋","山開一去翰定","5751 1665","tan 3","tã 3","tã 3","tä̃ 3","tan 3","tan 3","tɛ̃ 3","de̲ 32","da 32","tan 31 (lit.); tan 32","dã 32","than 32","than 3","tān 32","tan 31","taŋ 31","taŋ 32","te̲ 32",""
1282,2344,"術","臻合三入術船","5890 0901","ṣu 3","ṣu 3","fu 12","suəʔ 41","śy 12","su 3","soʔ 4","zôʔ 42","ɦy 42","śy 4","śy 31","sət 41","sut 42","šö̲t 42","sut 42","suk 42","suʔ 42","zôʔ 42","šiu 41"
1283,2346,"被","止開三上紙並","5926 1142","pei 3","pei 3","pi 3","pi 3","pei 3","pi 3","pəi 3","bi 32; be̲ 32 (lit.)","bei 22","pei 31 (lit.); pei 32","bi 32","phəi 32","phi 11","pei 32","pi 32 (lit.); phi 32 (lit.); phe 32","pi 22","pei 31; phuei 31","pe̲ 32","pei 3"
1284,2348,"袖","流開三去宥邪","4918 1609","śiou 3","śiou 3","śiou 3","śiou 3","śiou 3","śiəu 3","śiôɨ 3","zöy 32","ɦiu 32","śiôu 31","śiu 31","ćhiu 32","chiu 3","čau 32","siu 32","siu 22","sieu 32","ziɨ 32","siou 3"
1285,2349,"袍","效開一平豪並","5916 1285","phau 12","phɔ 12","phau 12","phau 1","phau 11","phau 12","phɔ 12","bä 12","bз 12","pau 12","bə 12","phau 12","phau 12","phou 12","phau 31 (lit.); pɔ 12","phau 12","pɔ 12","pɔ 32","phau 12"
1286,2350,"袋","蟹開一去代定","5915 1051","tai 3","tɛ 3","tɛ 3","tai 3","tai 3","tai 3","tɛ 3","de̲ 32","de̲ 32","tai 32","due 32","thai 32","thɔi 3","tɔi 32","tai 32","to 32","to̲y 31","te̲ 32","tai 3"
1287,2351,"覓","梗開四入錫明","6017 0564","mi 3","mi 3","mi 3","miəʔ 41","mi 12","mi 12","miəʔ 4","miôʔ 42","mi 42","mi 4","mi 31","mit 41","mɛt 41","mîk 42","bîk 42","mik 42","miʔ 42","mîʔ 42","mi 43"
1288,2352,"規","止合三平支見","6016 1214","kuei 11","kuei 11","kuei 11","kuei 1","kuei 11","kuei 11","kuəi 11","kue̲ 11","ćy 11","kuei 11","kui 11","kui 11","kui 11","khuai 11","kui 11","kui 11","kie 11","kue̲ 1","kuei 1"
1289,2353,"訪","宕合三去漾敷","6078 2241","faŋ 2","faŋ 2","faŋ 2","fã̲ 2","faŋ 2","faŋ 2","fâŋ 2","fa̲ŋ 2","xuɔ 21","fan 2","xaŋ 2","фuɔŋ 2","fɔŋ 2","fɔŋ 21","hɔŋ 2","huaŋ 21","xuɔŋ 2","fã̲ 3","faŋ 3"
1290,2357,"許","遇合三上語曉","6079 0992","śy 2","śy 2","śy 2","śy 2","śy 2","śy 2","śy 2","śy 2","śy 21","śy 2","śy 2","śy 2","hi 2","hö̲y 21","hu 2  (lit.); khɔ 2","hɨ 21","xy 2","śy 3","xiu 2"
1291,2358,"設","山開三入薛書","6080 0176","ṣô 3","ṣə 3","ṣô 11","saʔ 41; səʔ 41","sô 12","se 12","śiəʔ 4","sôʔ 41","sei 41","ṣô 4","śiɛ 12","sɛt 41","sat 41","čhit 43","siat 41","siek 41","sieʔ 41","sôʔ 4","šie 42"
1292,2359,"訟","通合三去用邪","6075 2658","suŋ 3","suŋ 3","soŋ 3","suŋ 3","soŋ 3","soŋ 3","sɔuŋ 3","zoŋ 32","ɦyɔ 32","soŋ 31","ʒaŋ 32; ʒən 32","suŋ 31","suŋ 3","čuŋ 32","siɔŋ 32","soŋ 22","söyŋ 32","",""
1293,2360,"訛","果合一平戈疑","6073 0212","ô 12","ŋə 12","ŋô 12","ŋə 1","ŋo 12","o 12","o 12","ŋəu 32","ŋ 12","o 12","ɣo 12","ŋo 31","ŋɔ 12","ŋɔ 12","go 12","ho 31","xɔ 12","","uo 12"
1294,2363,"豚","臻合一平魂定","6270 2161","thuən 12","thuẽ 12","thuẽ 12","thuŋ 1","thən 12","thən 12","thən 12","dən 12","dö 12","tən 12","duən 12","thən 12","tun 2","thyn 12","thun 12; tun 12 (lit.)","tuŋ 22","touŋ 32","təŋ 32","tuən 12"
1295,2364,"販","山合三去願非","6305 1655","fan 3","fã 3","fã 3","fä̃ 3","fan 3","fan 3","fɛ̃ 3","fe̲ 31","fa 31","fan 31","xuã 31","фuan 31","fan 3","fān 31","huan 32","hueŋ 31","xuaŋ 32","fe̲ 3","fan 3"
1296,2365,"責","梗開二入麥莊","6307 0147","cô 12","c̣ei 11","cei 11","cəʔ 41; caʔ 41","cô 12","ce 11","cəʔ 4","côʔ 41","ca 41","cô 4","ciɛ 12","cɛt 41","cit 41","čāk 41","cîk 41","ceʔ 41","caiʔ 41","côʔ 4","cai 42"
1297,2366,"貫","山合一去換見","6306 1959","kuan 3","kuã 3","kuã 3","kuä̃ 3","kuan 3","kuan 3","kuo 3","kuö 31","ky 31","kõ 31","kuɛ̃ 31","kuɔn 31","kuɔn 3","kun 31","kuan 31","kueŋ 31","kuaŋ 31","kuö 3; kue̲ 3","kon 3"
1298,2367,"貨","果合一去過曉","6303 0309","xuo 3","xuə 3","xuo 3","xuə 3","xo 3","xo 3","xo 3","həu 31","fu 31","xo 31","xû 31","фuo 31","fɔ 3","fɔ 31","ho 31 (lit.); he 31; hɔ̃ 31","hue 31","xuɔ 31","hu 3","xuo 3"
1299,2368,"貪","咸開一平覃透","6304 1667","than 11","thã 11","thã 11","thä̃ 1","than 11","than 11","thɛ̃ 11","thö 11","thö 11","than 11","thã 11","thɔn 11","tham 11","thām 11","tham 11","tham 11","thaŋ 11","thö 1","tham 1"
1300,2369,"貧","臻開三平真並","6302 2099","phin 12","phiẽ 12","phiẽ 12","phiŋ 1","phin 12","phin 12","pĩ 11","bin 12","beŋ 12","pin 12","bin 12","phin 12","phin 12","phan 12","pin 12","phiŋ 12","piŋ 12","piŋ 32","phiən 12"
