"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
 575, 913,"抽","流開三平尤徹","2132 1529","c̣hou 11","c̣hou 11","c̣hou 11","chou 1","chou 11","chəu 11","chôɨ 11","chöy 11","ćhiu 11","c̣hôu 11","ćhiû 11","cheu 11","chu 11","čhau 11","thiu 11 (lit.); liu 11","thiu 11","thieu 11","chôɨ 1","čhiou 1"
 576, 914,"押","咸開二入狎影","7700 0107","ia 11","ia 11","ia 11","iaʔ 41","ia 12","ia 12","iaʔ 4","iaʔ 41 (lit.); aʔ 41","a 41","ia 4  (lit.); ŋa 4","ŋa 12","ŋat 41","ap 41","ŋāp 43","ap 41 (lit.); aʔ 41","aʔ 41","aʔ 41","aʔ 4","a 43"
 577, 915,"拐","蟹合二上蟹見","2145 1121","kuai 2","kuɛ 2","kuɛ 2","kuai 2","kuai 2","kuai 2","kuɛ 2","kue̲ 2  (lit.); kua̲ 2","ka 21","kuai 2","kua 2","kuai 2","kuai 2","kuāi 21","kuai 2  (lit.); kuaĩ 2","kuai 21","kuai 22","kua 3","kuai 2"
 578, 916,"拙","山合三入薛章","2154 0286","c̣uo 11","c̣uə 11","ćy 11","cuəʔ 41; chuəʔ 41","co 12","cue 12","coʔ 4","côʔ 41","ćy 41","ćye 4","tuɛ 12","cɔt 41","","čyt 43","cuat 41","cuek 41","cuɔʔ 41","choʔ 4","čye 42"
 579, 918,"拍","梗開二入陌滂","2143 1033","phai 11","phei 11","phei 11","phiəʔ 41","phô 12","phe 12","phɔʔ 4","pha̲ʔ 41","pha 41","phô 4","pho 12","phak 41","phɔk 41","phāk 43","phîk 41 (lit.); paʔ 41","phaʔ 41","phaʔ 41","phaʔ 4","phai 42"
 580, 919,"抵","蟹開四上薺端","2107 0573","ti 2","ti 2","ti 2","ti 2","ti 2","ti 2","ti 2","ti 2","tei 21","ti 2","ti 2","ti 2","ti 2","tai 21","ti 2  (lit.); tu 2","ti 21","ti 2  (lit.); tɛ 2","ti 3","ti 2"
 581, 921,"抱","效開一上皓並","2128 1278","pau 3","pɔ 3","pau 3","pau 3","pau 3","pau 3","pɔ 3","bä 32","bз 22","pau 31 (lit.); pau 32","bə 32","phau 32","phau 3","phou 22","phau 32 (lit.); po 32","pho 22","pɔ 32","pɔ 32","pau 3"
 582, 922,"拘","遇合三平虞見","2153 0962","ćy 11","ćy 11","ćy 12","ćy 1","ćy 11","ćy 11","ćy 11","ćy 11","ćy 11","ćy 11","ty 31","ćy 11","khi 11","khö̲y 11","khu 11","khu 11","ky 11","ćy 1","kiu 1"
 583, 923,"拖","果開一平歌透","2151 0254","thuo 11","thuə 11","thuo 11","thuə 1; thə 1","tho 11","tho 11","tho 11","thəu 11","thu 11","tho 11","thû 11","tho 11","thɔ 11","thɔ 11","thua 12","thua 11","thɔ 11 (lit.); thua 11; tai 31","thu 1","thuo 1"
 584, 925,"拆","梗開二入陌徹","2135 1093","c̣hai 11","c̣hei 11","chei 11","chaʔ 41; chəʔ 41","chô 12","che 12","chəʔ 4","ca̲ʔ 41","cha 41","chai 4","ćhiɛ 12","chak 41","chak 41","čhāk 43","chîk 41","thiaʔ 41","thieʔ 41","chaʔ 4",""
